id;movie_title;release_date;genre;mpaa_rating;total_gross;inflation_adjusted_gross
98;The Rescuers Down Under;16/11/1990;Adventure;G;27931461;55796728
99;3 Men and a Little Lady;21/11/1990;Comedy;PG;71609321;143108869
100;Green Card;25/12/1990;Romantic Comedy;PG-13;29804169;59679131
101;White Fang;18/01/1991;Adventure;PG;34729091;69540672
102;Scenes from a Mall;22/02/1991;Comedy;;9563393;19149495
103;Haakon Haakonsen;01/03/1991;Adventure;PG;15024232;30084149
104;The Marrying Man;05/04/1991;Romantic Comedy;R;12454768;24939118
105;Oscar;26/04/1991;Comedy;PG;23562716;47181395
106;One Good Cop;03/05/1991;Action;R;11276846;22580472
107;What About Bob?;17/05/1991;Comedy;PG;63710000;127571325
108;Wild Hearts Can't Be Broken;24/05/1991;Drama;;7300000;14617333
109;The Rocketeer;21/06/1991;Action;PG;46573027;93256673
110;The Doctor;24/07/1991;Drama;PG-13;37497480;75084021
111;Paradise;18/09/1991;Drama;PG-13;18634643;37313540
112;Deceived;27/09/1991;Thriller/Suspense;PG-13;28738096;57544453
113;Ernest Scared Stupid;11/10/1991;Comedy;PG;14143280;28320147
114;Billy Bathgate;01/11/1991;Drama;R;15565363;31167691
115;Beauty and the Beast;13/11/1991;Musical;G;218951625;363017667
116;Father of the Bride;20/12/1991;Comedy;PG;89325780;179821881
117;The Hand That Rocks the Cradle;10/01/1992;Thriller/Suspense;R;88036683;178831137
118;Medicine Man;07/02/1992;Drama;PG-13;44948240;91304495
119;Blame it on the Bellboy;06/03/1992;Comedy;PG-13;2891055;5872667
120;Noises Off...;20/03/1992;Comedy;PG-13;2280148;4631720
121;Straight Talk;03/04/1992;Comedy;PG;21202099;43068356
122;Newsies;08/04/1992;;PG;2706352;5497481
123;Passed Away;24/04/1992;;PG-13;4030793;8187848
124;Encino Man;22/05/1992;Comedy;PG;40057130;81369058
125;Sister Act;29/05/1992;Comedy;PG;139605150;283583472
126;Honey I Blew Up the Kid;17/07/1992;Comedy;PG;58662452;119162518
127;A Stranger Among Us;17/07/1992;Drama;PG-13;12282994;24950752
128;3 Ninjas;07/08/1992;Action;PG;29028000;58965304
129;A Gun in Betty Lou's Handbag;21/08/1992;;PG-13;3591460;7295423
130;Captain Ron;18/09/1992;Comedy;PG-13;22518097;45741576
131;Sarafina!;18/09/1992;Drama;PG-13;7306242;14841352
132;Innocent Blood;25/09/1992;Horror;R;4877567;9907922
133;The Mighty Ducks;02/10/1992;Comedy;PG;50752337;103120810
134;1492: Conquest of Paradise;09/10/1992;Adventure;PG-13;7099531;14421454
135;Consenting Adults;16/10/1992;Drama;R;21591728;43859823
136;Aladdin;11/11/1992;Comedy;G;217350219;441969178
137;The Distinguished Gentleman;04/12/1992;Comedy;R;46434570;94349900
138;The Muppet Christmas Carol;11/12/1992;Comedy;G;27281507;55417615
139;Alive;15/01/1993;Adventure;R;36299670;73914543
140;Aspen Extreme;22/01/1993;Romantic Comedy;PG-13;7843388;15970955
141;Homeward Bound: The Incredible Journey;03/02/1993;Adventure;G;41833324;85182343
142;The Cemetery Club;03/02/1993;Comedy;PG-13;5583621;11369541
143;Swing Kids;05/03/1993;Musical;PG-13;5632086;11468231
144;A Far Off Place;12/03/1993;Adventure;PG;12890752;26248558
145;Born Yesterday;26/03/1993;Romantic Comedy;PG;17760754;36165012
146;The Adventures of Huck Finn;02/04/1993;Adventure;PG;24103594;49080505
147;Bound by Honor;16/04/1993;;R;4496583;9156084
148;Indian Summer;23/04/1993;Comedy;R;14717851;29968953
149;Super Mario Bros.;28/05/1993;Action;PG;20844907;42445058
150;Guilty as Sin;04/06/1993;Thriller/Suspense;R;22622537;46064723
151;Life With Mikey;04/06/1993;Comedy;PG;12349549;25146538
152;What's Love Got to Do With It;09/06/1993;Drama;R;39100956;79618610
153;Son in Law;02/07/1993;Comedy;PG-13;25989889;52921433
154;Hocus Pocus;16/07/1993;Comedy;PG;39360491;80147079
155;Another Stakeout;23/07/1993;Comedy;PG-13;20107504;40943541
156;My Boyfriend's Back;06/08/1993;;PG-13;3218882;6554384
157;Father Hood;27/08/1993;;PG-13;3268203;6654819
158;The Joy Luck Club;08/09/1993;Drama;R;32790064;66768171
159;Money for Nothing;10/09/1993;Comedy;R;1044824;2127496
160;The Program;24/09/1993;Action;R;23042200;46919256
161;Cool Runnings;01/10/1993;Comedy;PG;68856263;140392731
162;The Nightmare Before Christmas;13/10/1993;Musical;PG;50408318;100026637
163;The Three Musketeers;12/11/1993;Adventure;PG;53661805;109310377
164;Sister Act 2 Back in the Habit;10/12/1993;Comedy;PG;57319029;116965668
165;Tombstone;25/12/1993;Western;R;56505065;115781734
166;The Air Up There;07/01/1994;Comedy;PG;20782439;42940186
167;Cabin Boy;07/01/1994;Comedy;PG-13;3469493;7168577
168;Iron Will;14/01/1994;Drama;PG;20623071;42610902
169;Red Rock West;28/01/1994;;R;2502551;5170709
170;Blank Check;11/02/1994;Comedy;PG;30573770;63170804
171;Angie;04/03/1994;Comedy;R;9252349;19116981
172;The Ref;09/03/1994;Comedy;R;11325885;23401275
173;D2: The Mighty Ducks;25/03/1994;Comedy;PG;45604206;94226333
174;Holy Matrimony;08/04/1994;Comedy;;713234;1473665
175;White Fang 2: Myth of the White Wolf;15/04/1994;Adventure;PG;8752399;18083994
176;The Inkwell;22/04/1994;Comedy;R;8864699;18316030
177;When a Man Loves a Woman;29/04/1994;Drama;R;50021959;103354194
178;3 Ninjas Kick Back;06/05/1994;Action;PG;11744960;24267154
179;Renaissance Man;03/06/1994;Comedy;PG-13;24172899;49945474
180;The Lion King;15/06/1994;Adventure;G;422780140;761640898
181;I Love Trouble;29/06/1994;Romantic Comedy;PG;30806194;63651027
182;Angels in the Outfield;15/07/1994;Comedy;PG;50236831;103798152
183;In the Army Now;12/08/1994;Comedy;PG;28881266;59673787
184;Color of Night;19/08/1994;Thriller/Suspense;R;19750470;40804816
185;Camp Nowhere;26/08/1994;Comedy;PG;10442641;21576332
186;It's Pat;26/08/1994;Comedy;;60822;125666
187;A Simple Twist of Fate;02/09/1994;Drama;PG-13;3404935;7035189
188;Quiz Show;14/09/1994;Drama;PG-13;24787282;50840394
189;Terminal Velocity;23/09/1994;Action;PG-13;16478900;34048315
190;Ed Wood;30/09/1994;Comedy;R;5828466;12042634
191;The Puppet Masters;21/10/1994;Horror;R;8579626;17727017
192;Squanto: A Warrior's Tale;28/10/1994;Drama;PG;3319344;6858345
193;The Santa Clause;11/11/1994;Comedy;PG;144833357;298369717
194;A Low Down Dirty Shame;23/11/1994;Action;R;29317886;60321919
195;The Jungle Book;25/12/1994;Adventure;PG;44342956;88930321
196;Houseguest;06/01/1995;Comedy;PG;26325256;51016522
197;Bad Company;20/01/1995;Thriller/Suspense;R;3523909;6829092
198;Miami Rhapsody;27/01/1995;Romantic Comedy;PG-13;5086578;9857435
199;The Jerky Boys;03/02/1995;Comedy;R;7555256;14641561
200;Heavy Weights;17/02/1995;Comedy;PG;17671310;34245779
201;Man of the House;03/03/1995;Comedy;PG;40029009;77573459
202;Roommates;03/03/1995;Comedy;PG;12076989;23404369
203;Tall Tale;24/03/1995;Western;PG;8247627;15983331
204;A Pyromaniac's Love Story;28/03/1995;Romantic Comedy;PG;468240;907414
205;Jefferson in Paris;31/03/1995;Drama;PG-13;2461628;4770461
206;Funny Bones;31/03/1995;Comedy;R;529135;1025425
207;A Goofy Movie;07/04/1995;Comedy;G;35336439;68479579
208;While You Were Sleeping;21/04/1995;Romantic Comedy;PG;81057016;157082900
209;Crimson Tide;12/05/1995;Action;R;91387195;177102077
210;Mad Love;26/05/1995;Drama;PG-13;15446532;29934306
211;Pocahontas;10/06/1995;Adventure;G;141579773;274370957
212;Judge Dredd;30/06/1995;Action;R;34687912;67222776
213;Operation Dumbo Drop;28/07/1995;Adventure;PG;24670346;47809421
214;Dangerous Minds;11/08/1995;Drama;R;84919401;164552293
215;A Kid in King Arthur's Court;11/08/1995;Adventure;PG;13406717;25981285
216;The Tie That Binds;08/09/1995;Thriller/Suspense;R;5762795;11167895
217;Unstrung Heroes;15/09/1995;Drama;PG;7929000;15365850
218;The Big Green;29/09/1995;Comedy;PG;17736619;34372339
219;Dead Presidents;04/10/1995;Drama;R;24120194;46741467
220;The Scarlet Letter;13/10/1995;Drama;R;10359006;20075033
221;Feast of July;13/10/1995;Drama;R;293274;568342
222;Powder;27/10/1995;Drama;PG-13;30833914;59727216
223;Toy Story;22/11/1995;Adventure;G;191796233;370409631
224;Father of the Bride Part II;08/12/1995;Comedy;PG;76578911;147658438
225;Nixon;20/12/1995;Drama;R;13668249;26302005
226;Tom and Huck;22/12/1995;Adventure;PG;23837227;45911517
227;Mr. Holland's Opus;29/12/1995;Drama;PG;82582604;157508868
228;White Squall;02/02/1996;Adventure;PG-13;10229300;19509726
229;Muppet Treasure Island;16/02/1996;Adventure;G;34327391;65470567
230;Mr. Wrong;16/02/1996;Romantic Comedy;PG-13;12805071;24422334
231;Before and After;23/02/1996;Drama;PG-13;8642118;16482589
232;Up Close & Personal;01/03/1996;Drama;PG-13;51045801;97356578
233;Homeward Bound II: Lost in San Franc…;08/03/1996;Adventure;G;32709423;62384706
234;Two Much;15/03/1996;Romantic Comedy;PG-13;1078555;2057055
235;Un indien dans la ville;22/03/1996;Comedy;PG;1029731;1963937
236;James and the Giant Peach;12/04/1996;Adventure;PG;28921264;55159783
237;Celtic Pride;19/04/1996;Comedy;PG-13;9240378;17623615
238;Last Dance;03/05/1996;Drama;R;5857534;11171714
239;Boys;10/05/1996;Drama;PG-13;21930418;41826566
240;Spy Hard;24/05/1996;Comedy;PG-13;26936265;51373912
241;Eddie;31/05/1996;Comedy;PG-13;31369401;59828966
242;The Rock;07/06/1996;Action;R;134069511;255702705
243;The Hunchback of Notre Dame;21/06/1996;Adventure;G;100138851;190988799
244;Phenomenon;05/07/1996;Drama;PG;104636382;199559799
245;Kazaam;17/07/1996;Comedy;PG;18880508;36009655
