id;movie_title;release_date;genre;mpaa_rating;total_gross;inflation_adjusted_gross
415;Aliens of the Deep;28/01/2005;Documentary;G;8968684;11740942
416;Pooh's Heffalump Movie;11/02/2005;Adventure;G;18098433;23801835
417;The Pacifier;04/03/2005;Comedy;PG;113006880;148619029
418;Ice Princess;18/03/2005;Comedy;G;24381334;32064685
419;A Lot Like Love;22/04/2005;Comedy;PG-13;21835784;28716947
420;The Hitchhiker's Guide to the Galaxy;29/04/2005;Comedy;PG;51019112;67096891
421;Hauru no ugoku shiro;10/06/2005;Adventure;PG;4710455;6194870
422;Herbie: Fully Loaded;22/06/2005;Comedy;G;66010682;86812798
423;Dark Water;08/07/2005;Thriller/Suspense;PG-13;25473093;33500491
424;Sky High;29/07/2005;Adventure;PG;63939454;84088854
425;Valiant;19/08/2005;Adventure;G;19478106;25616292
426;Flightplan;23/09/2005;Thriller/Suspense;PG-13;89706988;117960425
427;The Greatest Game Ever Played;30/09/2005;Drama;PG;15331289;20162672
428;Shopgirl;21/10/2005;Drama;R;10284523;13519621
429;Chicken Little;04/11/2005;Adventure;G;135386665;177954661
430;The Chronicles of Narnia: The Lion  t…;09/12/2005;Adventure;PG;291710957;381557539
431;Casanova;25/12/2005;Drama;R;11304403;14574087
432;Glory Road;13/01/2006;Drama;PG;42647449;54888236
433;Annapolis;27/01/2006;Drama;PG-13;17127992;22044113
434;Roving Mars;27/01/2006;Documentary;G;10407978;12948025
435;Eight Below;17/02/2006;Adventure;PG;81612565;105037235
436;The Shaggy Dog;10/03/2006;Comedy;PG;61123569;78667428
437;Stay Alive;24/03/2006;Horror;PG-13;23086480;29712825
438;The Wild;14/04/2006;Adventure;G;37384046;48114115
439;Stick It;28/04/2006;Comedy;PG-13;26910736;34634731
440;Goal! The Dream Begins;12/05/2006;Drama;PG;4283255;5512647
441;Cars;09/06/2006;Comedy;G;244082982;314140384
442;Pirates of the Caribbean: Dead Man’…;07/07/2006;Adventure;PG-13;423315812;544817142
443;Step Up;11/08/2006;Drama;PG-13;65328121;84078780
444;Invincible;25/08/2006;Drama;PG;57806952;74398864
445;The Guardian;29/09/2006;Action;PG-13;55011732;70801353
446;The Prestige;20/10/2006;Thriller/Suspense;PG-13;53089891;68289913
447;Tim Burton's The Nightmare Before Chr…;20/10/2006;Musical;PG;24732041;30737517
448;The Santa Clause 3: The Escape Clause;03/11/2006;Comedy;G;84500122;108694869
449;Déjà Vu;22/11/2006;Thriller/Suspense;PG-13;64038616;82267038
450;Apocalypto;08/12/2006;Adventure;R;50866635;64959548
451;Primeval;12/01/2007;Adventure;R;10597734;12985302
452;Bridge to Terabithia;16/02/2007;Drama;PG;82234139;100760721
453;Wild Hogs;02/03/2007;Comedy;PG-13;168213584;206110533
454;Meet the Robinsons;30/03/2007;Adventure;G;97822171;119860589
455;The Lookout;30/03/2007;Drama;R;4600585;5637048
456;The Hoax;06/04/2007;Drama;R;7164995;8779196
457;The Invisible;27/04/2007;Thriller/Suspense;PG-13;20568319;25202168
458;Pirates of the Caribbean: At World’…;24/05/2007;Adventure;PG-13;309420425;379129960
459;Ratatouille;29/06/2007;Comedy;G;206445654;252955933
460;Underdog;03/08/2007;Adventure;PG;43760605;53619462
461;The Game Plan;22/09/2007;Comedy;PG;90648202;111010758
462;Dan in Real Life;20/10/2007;Romantic Comedy;PG-13;47642963;58350234
463;Enchanted;21/11/2007;Romantic Comedy;PG;127706877;156074310
464;National Treasure 2: Book of Secrets;21/12/2007;Adventure;PG;219961501;267003525
465;Hannah Montana/Miley Cyrus: Best of B…;01/02/2008;Concert/Performance;G;65281781;76646993
466;Step Up 2 the Streets;14/02/2008;Drama;PG-13;58017783;68118371
467;College Road Trip;07/03/2008;Comedy;G;45610425;53550960
468;The Chronicles of Narnia: Prince Caspian;16/05/2008;Adventure;PG;141621490;166277038
469;WALL-E;27/06/2008;Adventure;G;223808164;262771918
470;Swing Vote;01/08/2008;Comedy;PG-13;16289867;19125841
471;Goal! 2: Living the Dream...;29/08/2008;Drama;PG-13;225067;264247
472;Miracle at St. Anna;26/09/2008;Drama;R;7916887;9295171
473;Beverly Hills Chihuahua;03/10/2008;Comedy;PG;94514402;110932022
474;Morning Light;17/10/2008;Documentary;PG;275093;322979
475;High School Musical 3: Senior Year;24/10/2008;Musical;G;90559416;106308538
476;Bolt;21/11/2008;Comedy;PG;114053759;133702498
477;Bedtime Stories;25/12/2008;Comedy;PG;110101975;128039679
478;Confessions of a Shopaholic;13/02/2009;Romantic Comedy;PG;44277350;49767744
479;Jonas Brothers: The 3D Concert Experi…;27/02/2009;Concert/Performance;G;38174685;38174685
480;Race to Witch Mountain;13/03/2009;Adventure;PG;67172594;75501997
481;Hannah Montana the Movie;10/04/2009;Drama;G;79576189;89443640
482;Earth;22/04/2009;Documentary;G;32011576;35981010
483;Up;29/05/2009;Adventure;PG;293004164;329336681
484;The Proposal;19/06/2009;Romantic Comedy;PG-13;163958031;184288829
485;G-Force;24/07/2009;Adventure;PG;119436770;134246932
486;Gake no ue no Ponyo;14/08/2009;Adventure;G;15090399;16961607
487;X Games 3D: The Movie;21/08/2009;Documentary;PG;1391434;1563976
488;Walt and El Grupo;10/09/2009;Documentary;PG;20521;23064
489;Surrogates;25/09/2009;Action;PG-13;38577772;43361416
490;Toy Story 3D Double Feature;02/10/2009;Adventure;G;30702446;34509545
491;Disney's A Christmas Carol;06/11/2009;Drama;PG;137855863;154927105
492;The Princess and the Frog;25/11/2009;Adventure;G;104400899;116316457
493;Old Dogs;25/11/2009;Comedy;PG;49492060;55503929
494;When in Rome;29/01/2010;Romantic Comedy;PG-13;32680633;34917330
495;Alice in Wonderland;05/03/2010;Adventure;PG;334191110;357063499
496;Waking Sleeping Beauty;26/03/2010;Documentary;PG;80741;86264
497;The Last Song;31/03/2010;Drama;PG;62950384;67258772
498;Oceans;22/04/2010;Documentary;G;19422319;20751600
499;Prince of Persia: Sands of Time;28/05/2010;Action;PG-13;90759676;96971361
500;Toy Story 3;18/06/2010;Adventure;G;415004880;443408255
501;The Sorcerer's Apprentice;14/07/2010;Adventure;PG;63150991;67473105
502;Step Up 3D;06/08/2010;Drama;PG-13;42400223;45302137
503;Gedo Senki (Tales from Earthsea);13/08/2010;Adventure;PG-13;48658;51988
504;You Again;24/09/2010;Comedy;PG;25702053;27461121
505;Secretariat;08/10/2010;Drama;PG;59699513;63781920
506;Tangled;24/11/2010;Adventure;PG;200821936;214388548
507;Tron: Legacy;17/12/2010;Adventure;PG;172062763;183619259
508;Gnomeo and Juliet;11/02/2011;Comedy;G;99967670;106270797
509;I am Number Four;18/02/2011;Adventure;PG-13;55100437;58574607
510;Mars Needs Moms;11/03/2011;Adventure;PG;21392758;22741603
511;African Cats;22/04/2011;Documentary;G;15428747;16401551
512;Zokkomon;22/04/2011;Adventure;PG;2815;2984
513;Prom;29/04/2011;Comedy;PG;10130219;10768946
514;Pirates of the Caribbean: On Stranger…;20/05/2011;Adventure;PG-13;241063875;256263359
515;Cars 2;24/06/2011;Adventure;G;191450875;203522177
516;Winnie the Pooh;15/07/2011;Adventure;G;26692846;28375869
517;The Help;10/08/2011;Drama;PG-13;169705587;180404976
518;Fright Night;19/08/2011;Horror;R;18298649;19452402
519;Real Steel;07/10/2011;Action;PG-13;85463309;90848019
520;The Muppets;23/11/2011;Comedy;PG;88625922;94189503
521;War Horse;25/12/2011;Drama;PG-13;79883359;84762149
522;The Secret World of Arietty;17/02/2012;Adventure;G;19192510;20325733
523;John Carter;09/03/2012;Adventure;PG-13;73058679;77372445
524;Chimpanzee;20/04/2012;Documentary;G;28965459;30675725
525;The Avengers;04/05/2012;Action;PG-13;623279547;660081224
526;Brave;22/06/2012;Adventure;PG;237282182;251292441
527;People Like Us;29/06/2012;Drama;PG-13;12431792;13165822
528;The Odd Life of Timothy Green;15/08/2012;Drama;PG;51853450;54914942
529;Frankenweenie;05/10/2012;Comedy;PG;35287788;37363513
530;Wreck-It Ralph;02/11/2012;Adventure;PG;189412677;200354959
531;Lincoln;09/11/2012;Drama;PG-13;182207973;192122330
532;Oz the Great and Powerful;08/03/2013;Adventure;PG;234770996;243434130
533;Iron Man 3;03/05/2013;Action;PG-13;408992272;424084233
534;Monsters University;21/06/2013;Adventure;G;268488329;278395641
535;The Lone Ranger;02/07/2013;Western;PG-13;89302115;92597388
536;Disney Planes;09/08/2013;Comedy;PG;90282580;93614037
537;The Fifth Estate;18/10/2013;Drama;R;3254172;3374251
538;Thor: The Dark World;08/11/2013;Adventure;PG-13;206362140;213962184
539;Kaze Tachinu;08/11/2013;Drama;PG-13;5201879;5367415
540;Frozen;22/11/2013;Adventure;PG;400738009;414997174
541;Delivery Man;22/11/2013;Comedy;PG-13;30659817;31787136
542;Saving Mr. Banks;13/12/2013;Drama;PG-13;83299761;86249969
543;Need for Speed;14/03/2014;Action;PG-13;43568507;44955015
544;Muppets Most Wanted;21/03/2014;Comedy;PG;51178893;52807594
545;Captain America: The Winter Soldier;04/04/2014;Action;PG-13;259746958;268013076
546;Bears;18/04/2014;Documentary;G;17780194;18346024
547;Million Dollar Arm;10/05/2014;Drama;PG;36447959;37607865
548;Maleficent;30/05/2014;Adventure;PG;241407328;249089809
549;Planes: Fire and Rescue;18/07/2014;Adventure;PG;59157732;61040349
550;Guardians of the Galaxy;01/08/2014;Adventure;PG-13;333172112;343771168
551;The Hundred-Foot Journey;08/08/2014;Romantic Comedy;PG;54235441;55961409
552;Alexander and the Terrible Horrible;10/10/2014;Comedy;PG;66954149;69055550
553;Big Hero 6;07/11/2014;Adventure;PG;222527828;229249222
554;Into the Woods;25/12/2014;Musical;PG;128002372;130894237
555;Strange Magic;23/01/2015;Adventure;PG;12429583;12429583
556;McFarland USA;20/02/2015;Drama;PG;44480275;44480275
557;Cinderella;13/03/2015;Drama;PG;201151353;201151353
558;Monkey Kingdom;17/04/2015;Documentary;G;16432322;16432322
559;Avengers: Age of Ultron;01/05/2015;Action;PG-13;459005868;459005868
560;Tomorrowland;22/05/2015;Adventure;PG;93436322;93436322
561;Inside Out;19/06/2015;Adventure;PG;356461711;356461711
562;Ant-Man;17/07/2015;Action;PG-13;180202163;180202163
563;Bridge of Spies;16/10/2015;Thriller/Suspense;PG-13;72313754;72313754
564;The Good Dinosaur;25/11/2015;Adventure;PG;123087120;123087120
565;Star Wars Ep. VII: The Force Awakens;18/12/2015;Adventure;PG-13;936662225;936662225
566;The Finest Hours;29/01/2016;Thriller/Suspense;PG;27569558;27569558
567;Zootopia;04/03/2016;Adventure;PG;341268248;341268248
568;The Jungle Book;15/04/2016;Adventure;PG;364001123;364001123
569;A Beautiful Planet;29/04/2016;Documentary;G;7895708;7895708
570;Captain America: Civil War;06/05/2016;Action;PG-13;408084349;408084349
571;Alice Through the Looking Glass;27/05/2016;Adventure;PG;77042381;77042381
572;Finding Dory;17/06/2016;Adventure;PG;486295561;486295561
573;The BFG;01/07/2016;Adventure;PG;55483770;55483770
574;Pete’s Dragon;12/08/2016;Adventure;PG;76233151;76233151
575;The Light Between Oceans;02/09/2016;Drama;PG-13;12545979;12545979
576;Queen of Katwe;23/09/2016;Drama;PG;8874389;8874389
577;Doctor Strange;04/11/2016;Adventure;PG-13;232532923;232532923
578;Moana;23/11/2016;Adventure;PG;246082029;246082029
579;Rogue One: A Star Wars Story;16/12/2016;Adventure;PG-13;529483936;529483936
